Area,Area Latitude,Area Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
A'ali,26.1544539,50.5273639,Costa Coffee,26.157464331750106,50.52587327276449,Coffee Shop
A'ali,26.1544539,50.5273639,Chilis Aali,26.152996063232422,50.526268005371094,Diner
A'ali,26.1544539,50.5273639,Starbucks,26.15818594409287,50.52816810713463,Coffee Shop
A'ali,26.1544539,50.5273639,Hospital Resturant (كافيتيريا المستشفى),26.153012374389892,50.52623215096486,Restaurant
A'ali,26.1544539,50.5273639,كفتيريا المستشفى,26.153454713412955,50.52837535405713,Restaurant
A'ali,26.1544539,50.5273639,Loop Cafe,26.156017,50.531527,Café
A'ali,26.1544539,50.5273639,كفتريا ضاحية السهلة,26.154629,50.52396,Restaurant
A'ali,26.1544539,50.5273639,بسطه,26.156079,50.531154,Breakfast Spot
A'ali,26.1544539,50.5273639,Roya Café,26.156096435024082,50.53131226886014,Café
A'ali,26.1544539,50.5273639,GB Café,26.155895,50.530999,Café
A'ali,26.1544539,50.5273639,blissful temptations,26.155963323276403,50.53143864524385,Bakery
A'ali,26.1544539,50.5273639,Solideer Coldstore,26.154471480626636,50.52197123792511,Food
A'ali,26.1544539,50.5273639,Mambo Cafe,26.149792427099197,50.525777235287684,Café
A'ali,26.1544539,50.5273639,Nasmah Al Rabiae Sandwiches,26.15450331353887,50.525251559096375,Sandwich Place
A'ali,26.1544539,50.5273639,Barca bakery,26.149922745155322,50.52584367893473,Cupcake Shop
A'ali,26.1544539,50.5273639,o-bun,26.156143087282437,50.53110501214693,Cupcake Shop
A'ali,26.1544539,50.5273639,iceberry,26.15601,50.53108,Juice Bar
A'ali,26.1544539,50.5273639,كفتيريا الولد,26.154733657836914,50.523921966552734,Falafel Restaurant
A'ali,26.1544539,50.5273639,Basta 23,26.15600603377288,50.531128832085564,Middle Eastern Restaurant
Abu Baham,26.2057374,50.541668,Tabreez Restaurant,26.204477195989014,50.541146725788,Middle Eastern Restaurant
Abu Baham,26.2057374,50.541668,مطعم التبريز,26.20829200744629,50.54356002807617,Fish & Chips Shop
Abu Baham,26.2057374,50.541668,Magic Ice-cream,26.210016,50.54469,Ice Cream Shop
Abu Baham,26.2057374,50.541668,Bait Al Donut,26.206588,50.539116,Donut Shop
Abu Baham,26.2057374,50.541668,مشويات اهل العراق,26.209550066644784,50.54581689915612,Middle Eastern Restaurant
Abu Baham,26.2057374,50.541668,Folk Culture,26.208012,50.540888,Cafeteria
Abu Baham,26.2057374,50.541668,Abdull Razaaq Grills & Restaurant,26.20956290753812,50.54588768640385,Mediterranean Restaurant
Abu Baham,26.2057374,50.541668,Ahal Aliraq Grills,26.209730670602696,50.545720830877286,BBQ Joint
Abu Baham,26.2057374,50.541668,Max Saj,26.209956,50.54329,Restaurant
Al Garrya,20.639623,-100.477387,Tacos De Mixiote,20.639956,-100.47288,Mexican Restaurant
Al Garrya,20.639623,-100.477387,Barbacoa y menudo los Querreque,20.640294,-100.478751,Taco Place
Al Garrya,20.639623,-100.477387,Tacos Don Chuy,20.640453,-100.477995,Taco Place
Al Garrya,20.639623,-100.477387,Comida de Doña Tardada,20.6425,-100.4736,Restaurant
Al Garrya,20.639623,-100.477387,la Iguana Chilanga,20.640328736551584,-100.47343109071687,Mexican Restaurant
Al Garrya,20.639623,-100.477387,Ricos Tacos Los Amigos,20.643213123404266,-100.4761869995959,Taco Place
Al Garrya,20.639623,-100.477387,Elotes La Tía,20.641703481306397,-100.47433066111685,BBQ Joint
Al Garrya,20.639623,-100.477387,las ke-querias,20.641412,-100.474113,Food Stand
Al Garrya,20.639623,-100.477387,Panadería Artesanal,20.644214630126953,-100.47634887695312,Bakery
Al Garrya,20.639623,-100.477387,El Fogon,20.642256,-100.481188,Taco Place
Al Garrya,20.639623,-100.477387,Tortas México,20.643108,-100.475284,Burger Joint
Al Garrya,20.639623,-100.477387,Quesadillas PBQ,20.642017364501953,-100.47442626953125,Mexican Restaurant
Al Garrya,20.639623,-100.477387,Hamburguesas El Tío,20.64229965209961,-100.47382354736328,Burger Joint
Al Garrya,20.639623,-100.477387,Antojitos Mexicanos Don Chema,20.641183945549752,-100.47450160320136,Mexican Restaurant
Al Garrya,20.639623,-100.477387,Antojitos Doña Guijola,20.64159393310547,-100.47430419921875,Mexican Restaurant
Al Hajar,26.2254047,50.5901377,Sameeh pastries,26.22669662594431,50.588958387958805,Turkish Restaurant
Al Hajar,26.2254047,50.5901377,Relax Cafeteria,26.226999339457034,50.59096400235642,Cafeteria
Al Hajar,26.2254047,50.5901377,Extra Filipino Restaurant,26.227285913371343,50.59001390608844,Filipino Restaurant
Al Hajar,26.2254047,50.5901377,Jahan Grills,26.224671014636236,50.58775933744561,BBQ Joint
Al Hajar,26.2254047,50.5901377,Moroccan House (البيت المغربي),26.225859,50.59452,Moroccan Restaurant
Al Hajar,26.2254047,50.5901377,Cafe Rouge,26.220365215279788,50.58867372642161,Hookah Bar
Al Hajar,26.2254047,50.5901377,Pining & Violy Restaurant,26.225495,50.58853,Filipino Restaurant
Al Hajar,26.2254047,50.5901377,Rolando’s Kitchen,26.227377,50.588821,Filipino Restaurant
Al Hajar,26.2254047,50.5901377,Bubblicious,26.225647,50.587947,Bubble Tea Shop
Al Hajar,26.2254047,50.5901377,تكة ابل,26.229501819777763,50.5917823931357,Restaurant
Al Hajar,26.2254047,50.5901377,La Khali Broosted & Grill,26.22735516868761,50.59377346305602,Middle Eastern Restaurant
Al Hajar,26.2254047,50.5901377,Broasted Land,26.22891411685406,50.58822781639935,Fast Food Restaurant
Al Hajar,26.2254047,50.5901377,AJ Yummy Restaurant,26.226519,50.588559,Filipino Restaurant
Al Hajar,26.2254047,50.5901377,الخليل,26.227382353394507,50.59387015122845,Arepa Restaurant
Al Hajar,26.2254047,50.5901377,Maggies,26.22009174765547,50.588818074852334,Café
Al Hajar,26.2254047,50.5901377,تكا جيهان,26.222469,50.591672,BBQ Joint
Al Hajar,26.2254047,50.5901377,الفرن العربي,26.223637377449474,50.58880462164413,Bakery
Al Hajar,26.2254047,50.5901377,Casa Ilongga Savor,26.223618,50.587001,Filipino Restaurant
Al Hajar,26.2254047,50.5901377,Tuk Tuk Restaurant,26.226654,50.589546,Filipino Restaurant
Al Hajar,26.2254047,50.5901377,Alezomah Cold Store,26.225086,50.591158,Bagel Shop
Al Hajar,26.2254047,50.5901377,Happy Town Shawarma,26.226650020293444,50.58874448120895,Shawarma Place
Al Hajar,26.2254047,50.5901377,Quick Stomach,26.227418356102152,50.58807096677252,Asian Restaurant
Al Hajar,26.2254047,50.5901377,akbar resturant,26.227209575671733,50.58793435612849,Indian Restaurant
Al Hajar,26.2254047,50.5901377,Honey Thai Restaurant 2,26.225589,50.593736,Thai Restaurant
Al Hajar,26.2254047,50.5901377,Supreme Broasted,26.229717038747008,50.590835,Fast Food Restaurant
Al Hajar,26.2254047,50.5901377,mawardi cafe,26.22506332397461,50.585811614990234,Café
Al Hajar,26.2254047,50.5901377,New Cabalen,26.226594,50.587396,Asian Restaurant
Al Hajar,26.2254047,50.5901377,La Meza Restaurant,26.226246727843645,50.58598780197717,Asian Restaurant
Al Hajar,26.2254047,50.5901377,En Brosted,26.22620510403067,50.58488500455572,Asian Restaurant
Al Hajar,26.2254047,50.5901377,Lolita's Bakery (Pandesal Station),26.227405428354942,50.58634058738391,Bakery
Al Hajar,26.2254047,50.5901377,Albahar restaurant,26.229096987907674,50.58705398359794,Seafood Restaurant
Al Hajar,26.2254047,50.5901377,South Park Restaurant,26.227897226964977,50.585778983337434,Indian Restaurant
Al Hajar,26.2254047,50.5901377,Sakeena,26.2292462,50.5930009,Indian Restaurant
Al Hajar,26.2254047,50.5901377,Lahore Grills exhibition road,26.226000656727475,50.59583802673906,Restaurant
Al Hajar,26.2254047,50.5901377,Al Nozah Grills,26.229228,50.591644,Asian Restaurant
Al Hajar,26.2254047,50.5901377,karak palace,26.229412,50.590492,Café
Al Hajar,26.2254047,50.5901377,Jasmis,26.22603951960731,50.59510934940603,Fast Food Restaurant
Al Hajar,26.2254047,50.5901377,Thai Beach Restaurant,26.225034863270825,50.58484804722611,Thai Restaurant
Al Hajar,26.2254047,50.5901377,Top Thai,26.22662,50.58585,Thai Restaurant
Al Hajar,26.2254047,50.5901377,Al Jamaheer,26.2293450187423,50.58950792648188,Coffee Shop
Al Hajar,26.2254047,50.5901377,مطعم ريف اليمن,26.226102,50.59641,Breakfast Spot
